Datetime (CET+1/CEST +2),Datetime (UTC),Elia Grid Load [MW]
01/01/2022 00:00:00,31/12/2021 23:00:00,"7229,321"
01/01/2022 00:15:00,31/12/2021 23:15:00,"7141,165"
01/01/2022 00:30:00,31/12/2021 23:30:00,"7066,856"
01/01/2022 00:45:00,31/12/2021 23:45:00,"6956,022"
01/01/2022 01:00:00,01/01/2022 00:00:00,"6906,256"
01/01/2022 01:15:00,01/01/2022 00:15:00,"6739,079"
01/01/2022 01:30:00,01/01/2022 00:30:00,"6599,595"
01/01/2022 01:45:00,01/01/2022 00:45:00,"6460,616"
01/01/2022 02:00:00,01/01/2022 01:00:00,"6354,088"
01/01/2022 02:15:00,01/01/2022 01:15:00,"6271,309"
01/01/2022 02:30:00,01/01/2022 01:30:00,"6154,629"
01/01/2022 02:45:00,01/01/2022 01:45:00,"6112,180"
01/01/2022 03:00:00,01/01/2022 02:00:00,"6065,211"
01/01/2022 03:15:00,01/01/2022 02:15:00,"6020,909"
01/01/2022 03:30:00,01/01/2022 02:30:00,"5978,339"
01/01/2022 03:45:00,01/01/2022 02:45:00,"5941,322"
01/01/2022 04:00:00,01/01/2022 03:00:00,"5934,396"
01/01/2022 04:15:00,01/01/2022 03:15:00,"5932,257"
01/01/2022 04:30:00,01/01/2022 03:30:00,"5895,844"
01/01/2022 04:45:00,01/01/2022 03:45:00,"5903,391"
01/01/2022 05:00:00,01/01/2022 04:00:00,"5900,388"
01/01/2022 05:15:00,01/01/2022 04:15:00,"5873,393"
01/01/2022 05:30:00,01/01/2022 04:30:00,"5837,135"
01/01/2022 05:45:00,01/01/2022 04:45:00,"5830,718"
01/01/2022 06:00:00,01/01/2022 05:00:00,"5923,702"
01/01/2022 06:15:00,01/01/2022 05:15:00,"5966,861"
01/01/2022 06:30:00,01/01/2022 05:30:00,"6013,416"
01/01/2022 06:45:00,01/01/2022 05:45:00,"5983,410"
01/01/2022 07:00:00,01/01/2022 06:00:00,"5928,391"
01/01/2022 07:15:00,01/01/2022 06:15:00,"5911,458"
01/01/2022 07:30:00,01/01/2022 06:30:00,"5930,044"
01/01/2022 07:45:00,01/01/2022 06:45:00,"5924,984"
01/01/2022 08:00:00,01/01/2022 07:00:00,"6002,735"
01/01/2022 08:15:00,01/01/2022 07:15:00,"6047,029"
01/01/2022 08:30:00,01/01/2022 07:30:00,"5949,741"
01/01/2022 08:45:00,01/01/2022 07:45:00,"5919,583"
01/01/2022 09:00:00,01/01/2022 08:00:00,"5917,572"
01/01/2022 09:15:00,01/01/2022 08:15:00,"5947,851"
01/01/2022 09:30:00,01/01/2022 08:30:00,"6035,423"
01/01/2022 09:45:00,01/01/2022 08:45:00,"6075,366"
01/01/2022 10:00:00,01/01/2022 09:00:00,"6160,164"
01/01/2022 10:15:00,01/01/2022 09:15:00,"6218,452"
01/01/2022 10:30:00,01/01/2022 09:30:00,"6219,672"
01/01/2022 10:45:00,01/01/2022 09:45:00,"6176,925"
01/01/2022 11:00:00,01/01/2022 10:00:00,"6047,041"
01/01/2022 11:15:00,01/01/2022 10:15:00,"5978,709"
01/01/2022 11:30:00,01/01/2022 10:30:00,"5834,319"
